,ID,X,Y,H,H_err,J,J_err,K,K_err,chi,sharp,ra,dec
4112,5000989,1612.405,1243.754,,,23.3675,0.1613,21.439,0.2195,0.7785,-0.1430,150.01386020375597,5.2373961153922055
4133,37148,1670.400,1253.082,21.951999999999998,0.2119,,,21.078,0.1367,1.2020,0.5845,150.01127187145457,5.23781084558569
4146,5001000,3965.815,1259.091,,,16.2545,0.0060,15.527000000000001,0.0146,1.3950,-0.5560,149.9088258134812,5.2380754620553205
4154,37414,1277.308,1261.591,16.473,0.0254,17.0085,0.0085,16.274,0.0075,1.5977,-0.8713,150.02881587936832,5.238187771423909
4163,342514,3131.923,1267.669,21.726,0.1662,,,20.899,0.1714,1.1650,2.6225,149.9460429991819,5.23845952109094
4191,342426,4531.931,1276.755,21.497,0.1990,,,20.851000000000003,0.1550,1.6320,0.2945,149.88355955923325,5.2388573612173515
4229,342995,4627.418,1293.842,21.157999999999998,0.1984,,,20.678,0.2110,1.9000,-0.7545,149.87929778946122,5.239616146472747
4238,343303,874.492,1296.573,21.439,0.1550,21.9255,0.0527,21.771,0.2843,0.9150,-2.4117,150.04679402552173,5.239740732759556
4258,343620,3885.449,1304.572,22.404,0.2842,,,21.535,0.2526,1.0900,0.7725,149.91241239763013,5.240097199596119
4288,39099,3278.822,1324.141,20.804,0.0782,21.5915,0.0403,21.156000000000002,0.1582,0.9373,-0.5200,149.93948663786728,5.240969043217366
4300,39246,155.776,1330.160,20.965,0.2195,,,20.387,0.2012,2.3900,-0.4755,150.07887112804318,5.241229015570657
4323,39655,2366.322,1346.162,16.079,0.0165,16.674500000000002,0.0061,15.912,0.0056,1.2867,-0.2990,149.98021239876792,5.2419487386174
4344,344373,1548.720,1354.753,14.399999999999999,0.0141,15.0295,0.0072,14.251000000000001,0.0049,2.5167,-0.3560,150.0167028434788,5.242329207206201
4374,40286,4468.134,1362.152,21.926,0.2519,,,20.916,0.1619,1.1700,4.9810,149.88640631516796,5.2426531750936824
4379,345291,4304.550,1362.820,22.223,0.2911,,,21.495,0.2909,1.3000,-0.2090,149.8937072273422,5.2426838501053314
4450,40701,4406.435,1385.701,21.78,0.2592,,,20.899,0.1852,1.4600,1.6565,149.88915985568332,5.243700175156103
4453,346187,1002.735,1386.726,22.814,0.2847,,,21.631,0.2990,0.9800,-0.0080,150.04107086705582,5.243748143819578
4465,346203,3431.882,1389.815,22.25,0.2241,,,21.079,0.1683,1.0050,-1.4340,149.9326552231361,5.243887455177231
4474,346366,3762.670,1395.898,14.85,0.0147,15.1705,0.0060,14.760000000000002,0.0049,1.9643,-0.1963,149.9178917505842,5.24415664097475
4477,5001059,3765.335,1396.777,,,15.1805,0.0083,14.757000000000001,0.0151,2.3650,-0.7750,149.91777280490436,5.244195696692102
4484,346347,349.232,1402.411,21.59,0.2312,,,20.603,0.2259,1.8500,2.2875,150.07023752004267,5.244441520837432
4495,41198,4011.395,1404.969,22.342,0.2689,22.9755,0.1384,20.794,0.1877,1.0733,0.0813,149.9067908240306,5.2445586881519155
4581,42014,1627.032,1435.034,18.066,0.0306,18.6085,0.0103,17.855,0.0127,0.9890,-1.1090,150.01320791876003,5.245897462273705
4601,42201,1327.389,1442.403,16.642,0.0267,17.1475,0.0079,16.375,0.0069,1.5223,-0.9450,150.02658140234018,5.246224020798299
4616,348314,4317.564,1448.463,22.003,0.2229,22.6585,0.0997,19.586000000000002,0.0998,0.9047,-0.5860,149.89312589057334,5.246490116150903
4678,348903,1373.144,1480.051,22.201,0.2412,,,21.494,0.2916,1.2700,-1.8760,150.02453943137994,5.247897424051858
4683,43205,1866.802,1481.970,16.735,0.0258,17.256500000000003,0.0066,16.495,0.0078,1.3300,-0.8827,150.00250676249962,5.247984057900309
4692,43397,4180.139,1486.152,22.181,0.2583,,,21.514,0.2823,1.2200,-0.3315,149.89925913762383,5.248165946418243
4701,43416,2565.461,1488.570,22.211,0.2710,,,21.265,0.2524,1.2250,2.0325,149.9713245793308,5.248277975389887
4720,349260,2292.257,1494.090,21.678,0.1746,,,21.553,0.2021,1.2205,-0.3970,149.9835180866411,5.248523263433365
4738,43719,930.385,1499.827,22.154,0.2428,22.8795,0.1255,,,0.8835,-1.4730,150.04430049477787,5.248774491634032
4770,349837,3249.130,1510.045,21.877,0.1779,,,21.286,0.1907,1.0250,-2.0560,149.9408113578362,5.24923149328158
4899,44948,1943.166,1547.253,20.527,0.0799,21.5145,0.0350,18.232,0.0296,0.6933,0.1043,149.99909863850743,5.250885656453525
4911,351089,1197.897,1552.642,22.398,0.2693,23.840500000000002,0.2947,,,0.7700,-0.9090,150.03236125721352,5.25112301817141
4931,5001157,2418.561,1561.274,,,22.901500000000002,0.1151,20.580000000000002,0.1804,1.1290,-0.0400,149.97788096107254,5.251509261882383
4935,351398,461.858,1563.099,21.271,0.1409,,,20.813000000000002,0.1422,1.4695,-1.2295,150.06521194662443,5.2515839225515295
4958,45499,4316.839,1570.634,21.916999999999998,0.2169,,,21.319000000000003,0.2636,1.1900,1.8835,149.89315752254737,5.251919923808961
4969,351673,4323.150,1572.996,22.172,0.2906,,,20.725,0.1525,1.2550,0.0035,149.89287583798233,5.252024864449294
5031,46182,3137.708,1590.629,21.766,0.1816,,,21.224,0.2308,1.1600,2.7855,149.94578412359164,5.252813247154225
5045,46222,1586.113,1595.900,17.086,0.0255,17.5955,0.0073,16.880000000000003,0.0081,1.2380,-1.0460,150.01503465253145,5.25304693003114
5053,352525,4233.858,1598.877,17.988,0.0258,18.5195,0.0094,17.82,0.0152,0.9100,-0.5087,149.89686094355545,5.253175636238822
5067,46430,887.894,1603.862,17.049999999999997,0.0248,17.5835,0.0093,16.844,0.0083,1.2807,-0.8460,150.04619746645656,5.253398043598313
5094,352872,1055.148,1611.156,22.339,0.2984,23.2115,0.1687,,,0.8550,-1.6350,150.0387326513253,5.253723020494458
5111,352981,1445.943,1617.087,22.503,0.2781,,,21.611,0.2483,1.0000,1.8480,150.02129076575798,5.2539881435802265
5145,47160,826.595,1628.500,21.852999999999998,0.1888,,,20.966,0.1822,1.2550,-1.3655,150.04893348300496,5.254492747101654
5170,353613,2171.178,1636.098,21.97,0.2227,23.3815,0.1797,,,0.9590,-1.5020,149.98892216793737,5.254834619985774
5224,48064,4429.544,1660.708,21.986,0.2631,,,21.161,0.2701,1.4900,2.3125,149.88812674259617,5.255922523334925
5250,48139,2085.531,1670.008,22.296,0.2810,,,21.271,0.2160,1.1800,1.4910,149.99274480582847,5.256341632229482
5257,354730,1878.276,1672.785,17.238,0.0185,18.305500000000002,0.0065,16.973000000000003,0.0071,0.7320,-0.2013,150.00199503275917,5.256464726430568
